ind,name,desc
0,Abacus,"Категория снаряжения: Adventuring Gear. 
Вес: 2. 
Цена: 2 gp. 
Описание: -"
1,Acid (vial),"Категория снаряжения: Adventuring Gear. 
Вес: 1. 
Цена: 25 gp. 
Описание: As an action, you can splash the contents of this vial onto a creature within 5 feet of you or throw the vial up to 20 feet, shattering it on impact. In either case, make a ranged attack against a creature or object, treating the acid as an improvised weapon. On a hit, the target takes 2d6 acid damage."
2,Alchemist's fire (flask),"Категория снаряжения: Adventuring Gear. 
Вес: 1. 
Цена: 50 gp. 
Описание: This sticky, adhesive fluid ignites when exposed to air. As an action, you can throw this flask up to 20 feet, shattering it on impact. Make a ranged attack against a creature or object, treating the alchemist's fire as an improvised weapon. On a hit, the target takes 1d4 fire damage at the start of each of its turns. A creature can end this damage by using its action to make a DC 10 Dexterity check to extinguish the flames."
3,Alchemist's Supplies,"Категория снаряжения: Tools. 
Вес: 8. 
Цена: 50 gp. 
Описание: These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency."
4,Alms box,"Категория снаряжения: Adventuring Gear. 
Вес: 0. 
Цена: 0 cp. 
Описание: A small box for alms, typically found in a priest's pack."
5,Amulet,"Категория снаряжения: Adventuring Gear. 
Вес: 1. 
Цена: 5 gp. 
Описание: A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic. Appendix B lists the symbols commonly associated with many gods in the multiverse. A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield."
6,Animal Feed (1 day),"Категория снаряжения: Mounts and Vehicles. 
Вес: 10. 
Цена: 5 cp. 
Описание: -"
7,Antitoxin (vial),"Категория снаряжения: Adventuring Gear. 
Вес: 0. 
Цена: 50 gp. 
Описание: A creature that drinks this vial of liquid gains advantage on saving throws against poison for 1 hour. It confers no benefit to undead or constructs."
8,Arrow,"Категория снаряжения: Adventuring Gear. 
Вес: 1. 
Цена: 1 gp. 
Описание: -"
9,Backpack,"Категория снаряжения: Adventuring Gear. 
Вес: 5. 
Цена: 2 gp. 
Описание: -"
