name,desc
Action Surge (1 use),"Имя класса: Истребитель, Уровень: 2, Описание: Starting at 2nd level, you can push yourself beyond your normal limits for a moment. On your turn, you can take one additional action on top of your regular action and a possible bonus action. Once you use this feature, you must finish a short or long rest before you can use it again. Starting at 17th level, you can use it twice before a rest, but only once on the same turn."
Action Surge (2 uses),"Имя класса: Истребитель, Уровень: 17, Описание: Starting at 2nd level, you can push yourself beyond your normal limits for a moment. On your turn, you can take one additional action on top of your regular action and a possible bonus action. Once you use this feature, you must finish a short or long rest before you can use it again. Starting at 17th level, you can use it twice before a rest, but only once on the same turn."
Additional Fighting Style,"Имя класса: Истребитель, Уровень: 10, Сабкласс Чемпионка, Описание: At 10th level, you can choose a second option from the Fighting Style class feature."
Additional Magical Secrets,"Имя класса: Бард, Уровень: 6, Сабкласс Исторический факт, Описание: At 6th level, you learn two spells of your choice from any class. A spell you choose must be of a level you can cast, as shown on the Bard table, or a cantrip. The chosen spells count as bard spells for you but don't count against the number of bard spells you know."
Arcane Recovery,"Имя класса: Мастер настройки, Уровень: 1, Описание: You have learned to regain some of your magical energy by studying your spellbook. Once per day when you finish a short rest, you can choose expended spell slots to recover. The spell slots can have a combined level that is equal to or less than half your wizard level (rounded up), and none of the slots can be 6th level or higher. For example, if you're a 4th-level wizard, you can recover up to two levels worth of spell slots. You can recover either a 2nd-level spell slot or two 1st-level spell slots."
Arcane Tradition,"Имя класса: Мастер настройки, Уровень: 2, Описание: When you reach 2nd level, you choose an arcane tradition, shaping your practice of magic through one of eight schools, such as Evocation. Your choice grants you features at 2nd level and again at 6th, 10th, and 14th level."
Archdruid,"Имя класса: Друид [druid], Уровень: 20, Описание: At 20th level, you can use your Wild Shape an unlimited number of times. Additionally, you can ignore the verbal and somatic components of your druid spells, as well as any material components that lack a cost and aren't consumed by a spell. You gain this benefit in both your normal shape and your beast shape from Wild Shape."
Aura improvements,"Имя класса: Паладин, Уровень: 18, Описание: At 18th level, the range of your auras increase to 30 feet."
Aura of Courage,"Имя класса: Паладин, Уровень: 10, Описание: Starting at 10th level, you and friendly creatures within 10 feet of you can't be frightened while you are conscious. At 18th level, the range of this aura increases to 30 feet."
Aura of Devotion,"Имя класса: Паладин, Уровень: 7, Сабкласс Преданность, Описание: Starting at 7th level, you and friendly creatures within 10 feet of you can't be charmed while you are conscious. At 18th level, the range of this aura increases to 30 feet."
