name,desc,image
Aboleth,"Размер: Огромный. 
 Харизма: 18. 
 Интеллект: 18. 
 Ловкость: 9. 
 Телосложение: 15. 
 Мудрость: 15. 
 Сила: 21. 
 Количество ХП: 5900. 
Язык монстра: Deep Speech, telepathy 120 ft.. 
 Hit dice: 18d10. 
 Действия:  - Multiattack: The aboleth makes three tentacle attacks. - Tentacle: Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 12 (2d6 + 5) bludgeoning damage. If the target is a creature, it must succeed on a DC 14 Constitution saving throw or become diseased. The disease has no effect for 1 minute and can be removed by any magic that cures disease. After 1 minute, the diseased creature's skin becomes translucent and slimy, the creature can't regain hit points unless it is underwater, and the disease can be removed only by heal or another disease-curing spell of 6th level or higher. When the creature is outside a body of water, it takes 6 (1d12) acid damage every 10 minutes unless moisture is applied to the skin before 10 minutes have passed. - Tail: Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 15 (3d6 + 5) bludgeoning damage. - Enslave: The aboleth targets one creature it can see within 30 ft. of it. The target must succeed on a DC 14 Wisdom saving throw or be magically charmed by the aboleth until the aboleth dies or until it is on a different plane of existence from the target. The charmed target is under the aboleth's control and can't take reactions, and the aboleth and the target can communicate telepathically with each other over any distance.
Whenever the charmed target takes damage, the target can repeat the saving throw. On a success, the effect ends. No more than once every 24 hours, the target can also repeat the saving throw when it is at least 1 mile away from the aboleth.. 
 Легендарные действаия  - Detect: The aboleth makes a Wisdom (Perception) check. - Tail Swipe: The aboleth makes one tail attack. - Psychic Drain (Costs 2 Actions): One creature charmed by the aboleth takes 10 (3d6) psychic damage, and the aboleth regains hit points equal to the damage the creature takes.",https://www.dnd5eapi.cohttps://www.dnd5eapi.co/api/images/monsters/aboleth.png
Acolyte,"Размер: Средний. 
 Харизма: 11. 
 Интеллект: 10. 
 Ловкость: 10. 
 Телосложение: 10. 
 Мудрость: 14. 
 Сила: 10. 
 Количество ХП: 50. 
Язык монстра: any one language (usually Common). 
 Hit dice: 2d8. 
 Действия:  - Club: Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage.. 
 Легендарные действаия ",https://www.dnd5eapi.cohttps://www.dnd5eapi.co/api/images/monsters/acolyte.png
Adult Black Dragon,"Размер: Огромный. 
 Харизма: 17. 
 Интеллект: 14. 
 Ловкость: 14. 
 Телосложение: 21. 
 Мудрость: 13. 
 Сила: 23. 
 Количество ХП: 11500. 
Язык монстра: Common, Draconic. 
 Hit dice: 17d12. 
 Действия:  - Multiattack: The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws. - Bite: Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 4 (1d8) acid damage. - Claw: Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage. - Tail: Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage. - Frightful Presence: Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours. - Acid Breath: The dragon exhales acid in a 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 54 (12d8) acid damage on a failed save, or half as much damage on a successful one.. 
 Легендарные действаия  - Detect: The dragon makes a Wisdom (Perception) check. - Tail Attack: The dragon makes a tail attack. - Wing Attack (Costs 2 Actions): The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.",https://www.dnd5eapi.cohttps://www.dnd5eapi.co/api/images/monsters/adult-black-dragon.png
Adult Blue Dragon,"Размер: Огромный. 
 Харизма: 19. 
 Интеллект: 16. 
 Ловкость: 10. 
 Телосложение: 23. 
 Мудрость: 15. 
 Сила: 25. 
 Количество ХП: 15000. 
Язык монстра: Common, Draconic. 
 Hit dice: 18d12. 
 Действия:  - Multiattack: The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws. - Bite: Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage plus 5 (1d10) lightning damage. - Claw: Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage. - Tail: Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit: 16 (2d8 + 7) bludgeoning damage. - Frightful Presence: Each creature of the dragon's choice that is within 120 ft. of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours. - Lightning Breath: The dragon exhales lightning in a 90-foot line that is 5 ft. wide. Each creature in that line must make a DC 19 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one.. 
 Легендарные действаия  - Detect: The dragon makes a Wisdom (Perception) check. - Tail Attack: The dragon makes a tail attack. - Wing Attack (Costs 2 Actions): The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.",https://www.dnd5eapi.cohttps://www.dnd5eapi.co/api/images/monsters/adult-blue-dragon.png
Adult Brass Dragon,"Размер: Огромный. 
 Харизма: 17. 
 Интеллект: 14. 
 Ловкость: 10. 
 Телосложение: 21. 
 Мудрость: 13. 
 Сила: 23. 
 Количество ХП: 10000. 
Язык монстра: Common, Draconic. 
 Hit dice: 15d12. 
 Действия:  - Multiattack: The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws. - Bite: Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage. - Claw: Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage. - Tail: Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage. - Frightful Presence: Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours . - Breath Weapons: The dragon uses one of the following breath weapons.
Fire Breath. The dragon exhales fire in an 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 45 (13d6) fire damage on a failed save, or half as much damage on a successful one.
Sleep Breath. The dragon exhales sleep gas in a 60-foot cone. Each creature in that area must succeed on a DC 18 Constitution saving throw or fall unconscious for 10 minutes. This effect ends for a creature if the creature takes damage or someone uses an action to wake it.. 
 Легендарные действаия  - Detect: The dragon makes a Wisdom (Perception) check. - Tail Attack: The dragon makes a tail attack. - Wing Attack (Costs 2 Actions): The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.",https://www.dnd5eapi.cohttps://www.dnd5eapi.co/api/images/monsters/adult-brass-dragon.png
Adult Bronze Dragon,"Размер: Огромный. 
 Харизма: 19. 
 Интеллект: 16. 
 Ловкость: 10. 
 Телосложение: 23. 
 Мудрость: 15. 
 Сила: 25. 
 Количество ХП: 13000. 
Язык монстра: Common, Draconic. 
 Hit dice: 17d12. 
 Действия:  - Multiattack: The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws. - Bite: Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage. - Claw: Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage. - Tail: Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit: 16 (2d8 + 7) bludgeoning damage. - Frightful Presence: Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours. - Breath Weapons: The dragon uses one of the following breath weapons.
Lightning Breath. The dragon exhales lightning in a 90-foot line that is 5 feet wide. Each creature in that line must make a DC 19 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one.
Repulsion Breath. The dragon exhales repulsion energy in a 30-foot cone. Each creature in that area must succeed on a DC 19 Strength saving throw. On a failed save, the creature is pushed 60 feet away from the dragon.. 
 Легендарные действаия  - Detect: The dragon makes a Wisdom (Perception) check. - Tail Attack: The dragon makes a tail attack. - Wing Attack (Costs 2 Actions): The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.",https://www.dnd5eapi.cohttps://www.dnd5eapi.co/api/images/monsters/adult-bronze-dragon.png
Adult Copper Dragon,"Размер: Огромный. 
 Харизма: 17. 
 Интеллект: 18. 
 Ловкость: 12. 
 Телосложение: 21. 
 Мудрость: 15. 
 Сила: 23. 
 Количество ХП: 11500. 
Язык монстра: Common, Draconic. 
 Hit dice: 16d12. 
 Действия:  - Multiattack: The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws. - Bite: Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage. - Claw: Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage. - Tail: Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage. - Frightful Presence: Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours. - Breath Weapons: The dragon uses one of the following breath weapons.
Acid Breath. The dragon exhales acid in an 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 54 (12d8) acid damage on a failed save, or half as much damage on a successful one.
Slowing Breath. The dragon exhales gas in a 60-foot cone. Each creature in that area must succeed on a DC 18 Constitution saving throw. On a failed save, the creature can't use reactions, its speed is halved, and it can't make more than one attack on its turn. In addition, the creature can use either an action or a bonus action on its turn, but not both. These effects last for 1 minute. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself with a successful save.. 
 Легендарные действаия  - Detect: The dragon makes a Wisdom (Perception) check. - Tail Attack: The dragon makes a tail attack. - Wing Attack (Costs 2 Actions): The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.",https://www.dnd5eapi.cohttps://www.dnd5eapi.co/api/images/monsters/adult-copper-dragon.png
Adult Gold Dragon,"Размер: Огромный. 
 Харизма: 24. 
 Интеллект: 16. 
 Ловкость: 14. 
 Телосложение: 25. 
 Мудрость: 15. 
 Сила: 27. 
 Количество ХП: 18000. 
Язык монстра: Common, Draconic. 
 Hit dice: 19d12. 
 Действия:  - Multiattack: The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws. - Bite: Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 19 (2d10 + 8) piercing damage. - Claw: Melee Weapon Attack: +14 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) slashing damage. - Tail: Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 17 (2d8 + 8) bludgeoning damage. - Frightful Presence: Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 21 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours. - Breath Weapons: The dragon uses one of the following breath weapons.
Fire Breath. The dragon exhales fire in a 60-foot cone. Each creature in that area must make a DC 21 Dexterity saving throw, taking 66 (12d10) fire damage on a failed save, or half as much damage on a successful one.
Weakening Breath. The dragon exhales gas in a 60-foot cone. Each creature in that area must succeed on a DC 21 Strength saving throw or have disadvantage on Strength-based attack rolls, Strength checks, and Strength saving throws for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.. 
 Легендарные действаия  - Detect: The dragon makes a Wisdom (Perception) check. - Tail Attack: The dragon makes a tail attack. - Wing Attack (Costs 2 Actions): The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.",https://www.dnd5eapi.cohttps://www.dnd5eapi.co/api/images/monsters/adult-gold-dragon.png
Adult Green Dragon,"Размер: Огромный. 
 Харизма: 17. 
 Интеллект: 18. 
 Ловкость: 12. 
 Телосложение: 21. 
 Мудрость: 15. 
 Сила: 23. 
 Количество ХП: 13000. 
Язык монстра: Common, Draconic. 
 Hit dice: 18d12. 
 Действия:  - Multiattack: The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws. - Bite: Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 7 (2d6) poison damage. - Claw: Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage. - Tail: Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage. - Frightful Presence: Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours . - Poison Breath: The dragon exhales poisonous gas in a 60-foot cone. Each creature in that area must make a DC 18 Constitution saving throw, taking 56 (16d6) poison damage on a failed save, or half as much damage on a successful one.. 
 Легендарные действаия  - Detect: The dragon makes a Wisdom (Perception) check. - Tail Attack: The dragon makes a tail attack. - Wing Attack (Costs 2 Actions): The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.",https://www.dnd5eapi.cohttps://www.dnd5eapi.co/api/images/monsters/adult-green-dragon.png
Adult Red Dragon,"Размер: Огромный. 
 Харизма: 21. 
 Интеллект: 16. 
 Ловкость: 10. 
 Телосложение: 25. 
 Мудрость: 13. 
 Сила: 27. 
 Количество ХП: 18000. 
Язык монстра: Common, Draconic. 
 Hit dice: 19d12. 
 Действия:  - Multiattack: The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws. - Bite: Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 19 (2d10 + 8) piercing damage plus 7 (2d6) fire damage. - Claw: Melee Weapon Attack: +14 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) slashing damage. - Tail: Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 17 (2d8 + 8) bludgeoning damage. - Frightful Presence: Each creature of the dragon's choice that is within 120 ft. of the dragon and aware of it must succeed on a DC 19 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours. - Fire Breath: The dragon exhales fire in a 60-foot cone. Each creature in that area must make a DC 21 Dexterity saving throw, taking 63 (18d6) fire damage on a failed save, or half as much damage on a successful one.. 
 Легендарные действаия  - Detect: The dragon makes a Wisdom (Perception) check. - Tail Attack: The dragon makes a tail attack. - Wing Attack (Costs 2 Actions): The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.",https://www.dnd5eapi.cohttps://www.dnd5eapi.co/api/images/monsters/adult-red-dragon.png
